activity_id,title,description,images,highlighted,short_desc,difficulty_level,icon_id
1,Sunrise Vinyasa Flow,"Start your day with an energizing Vinyasa flow sequence synchronized with breath. Suitable for all levels looking to build heat and flexibility.","[""https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?q=80&w=900"",""https://images.unsplash.com/photo-1588286840104-8957b019727f?q=80&w=900""]",true,"Energize your morning with flowing sequences",2,3
2,Gentle Hatha Yoga,"A slower-paced class focusing on foundational postures, alignment, and mindful breathing. Perfect for beginners or those seeking a relaxing practice.","[""https://images.unsplash.com/photo-1599447421416-3414500d18a5?q=80&w=900"",""https://images.unsplash.com/photo-1575052814086-f385e2e2ad1b?q=80&w=900""]",false,"Perfect introduction to yoga fundamentals",1,1
3,Power Yoga Challenge,"A dynamic and vigorous practice designed to build strength, stamina, and focus. Expect challenging sequences and optional inversions.","[""https://images.unsplash.com/photo-1506126613408-eca07ce68773?q=80&w=900"",""https://images.unsplash.com/photo-1593164842264-854604db2260?q=80&w=900""]",true,"Challenge your limits and build strength",3,5
4,Restorative Yoga & Meditation,"Unwind and release tension with long-held, supported poses using props. Includes guided meditation for deep relaxation and stress relief.","[""https://images.unsplash.com/photo-1591228127791-8e2eaef098d3?q=80&w=900"",""https://images.unsplash.com/photo-1616699002805-0741e1e4a9c5?q=80&w=900""]",false,"Deep relaxation for body and mind",1,2
5,Ashtanga Primary Series Intro,"Learn the fundamentals of the Ashtanga Primary Series in this introductory class, focusing on the set sequence and Ujjayi breath.","[""https://images.unsplash.com/photo-1532798442725-41036acc7489?q=80&w=900"",""https://images.unsplash.com/photo-1510894347713-fc3ed6fdf539?q=80&w=900""]",false,"Traditional Ashtanga yoga sequence",2,4
6,Yin Yoga Deep Stretch,"Target deep connective tissues with passively held floor poses. A meditative practice promoting flexibility and joint health.","[""https://images.unsplash.com/photo-1552196563-55cd4e45efb3?q=80&w=900"",""https://images.unsplash.com/photo-1508672019048-805c876b67e2?q=80&w=900""]",true,"Release tension with deep, passive stretches",1,6
7,Prenatal Yoga,"A supportive class designed for expectant mothers, focusing on safe movements, breathwork, and relaxation techniques for pregnancy.","[""https://images.unsplash.com/photo-1584464491033-06628f3a6b7b?q=80&w=900"",""https://images.unsplash.com/photo-1623778434001-03c1705c49e4?q=80&w=900""]",false,"Nurturing practice for mothers-to-be",1,2
8,Lunchtime Express Flow,"Recharge midday with a quick, efficient 45-minute Vinyasa flow to reset your body and mind. Open to all levels.","[""https://images.unsplash.com/photo-1593810450967-f9c42742e3af?q=80&w=900"",""https://images.unsplash.com/photo-1518611012118-696072aa579a?q=80&w=900""]",false,"Quick midday yoga rejuvenation",2,3
9,Candlelight Yoga,"A gentle evening practice by candlelight to wind down and prepare for restful sleep. Includes slow flows and restorative poses.","[""https://images.unsplash.com/photo-1545389336-cf090694435e?q=80&w=900"",""https://images.unsplash.com/photo-1620121684840-edffcfc4b878?q=80&w=900""]",true,"Peaceful evening practice by candlelight",1,1
10,Yoga for Flexibility,"Focus on increasing range of motion and opening tight areas of the body. Perfect for athletes or anyone looking to improve flexibility.","[""https://images.unsplash.com/photo-1594056113573-f8faae96f2cb?q=80&w=900"",""https://images.unsplash.com/photo-1524863479829-916d8e77f114?q=80&w=900""]",false,"Enhance your flexibility and mobility",2,6
11,Mindful Movement & Meditation,"Combine gentle, intentional movement with extended meditation periods. Develop mindfulness both on and off the mat.","[""https://images.unsplash.com/photo-1602192509154-0b900ee1f851?q=80&w=900"",""https://images.unsplash.com/photo-1536623975707-c4b3b2af565d?q=80&w=900""]",false,"Connect movement with mindfulness",1,4
12,Advanced Inversions Workshop,"For experienced practitioners wanting to refine their inversion practice. Learn techniques for headstands, handstands, and arm balances.","[""https://images.unsplash.com/photo-1566501206188-5dd0cf160a0e?q=80&w=900"",""https://images.unsplash.com/photo-1611094555453-2f742ef8ac7f?q=80&w=900""]",true,"Master advanced upside-down poses",3,5